User_ID,Age,Gender,Age Group,Category,Profession_Type,Daily_Screen_Time,Social_Media_Time,Study_Time,Entertainment_Time,Device_Before_Sleep,Sleep_Hours,Sleep_Quality,Stress_Level,Eye_Strain,Physical_Activity,Productivity_Level,Academic_Performance,Concentration_Level
1,38,Male,Adult,Working,Government,5.6,4.7,2.8,2.8,No,7.9,Good,9,No,2.3,Low,4,9
2,43,Male,Adult,Working,IT Services,6.2,0.9,4.5,1.7,Yes,7.4,Good,8,Yes,0.8,High,44,8
3,49,Female,Adult,Non-Working,Retired,6.2,1.1,1.6,4.6,No,4.1,Poor,5,Yes,1.5,Medium,98,8
4,68,Female,Senior,Working,Government,8.0,1.5,1.3,6.7,Yes,7.7,Good,7,Yes,1.1,High,25,10
5,21,Female,Adult,Non-Working,Unemployed,3.7,5.0,3.4,0.5,No,7.6,Good,2,No,1.2,Low,52,8
6,23,Female,Adult,Working,Healthcare,6.8,1.4,1.6,5.2,Yes,6.8,Average,10,Yes,1.8,Medium,81,4
7,78,Male,Senior,Non-Working,Retired,7.3,3.1,1.1,6.2,No,4.8,Poor,10,Yes,2.4,High,3,7
8,41,Male,Adult,Working,Freelancer,4.6,3.9,4.3,0.5,Yes,4.4,Poor,4,No,0.7,Medium,6,6
9,13,Female,Teen,Student,College Student,3.8,1.8,1.8,2.0,No,8.0,Good,8,No,2.2,High,66,6
10,65,Female,Senior,Non-Working,Homemaker,5.6,0.7,3.2,2.4,Yes,4.4,Poor,3,No,0.5,High,85,6
11,29,Male,Adult,Non-Working,Homemaker,5.5,1.7,4.1,1.4,Yes,8.4,Good,9,No,2.3,High,63,3
12,39,Female,Adult,Working,Education,3.5,0.9,2.7,0.8,No,5.6,Average,3,No,1.1,Low,97,9
13,30,Male,Adult,Working,Healthcare,9.9,4.0,1.0,8.9,No,5.3,Average,3,Yes,2.3,High,13,3
14,31,Male,Adult,Working,Education,8.6,4.0,2.7,5.9,No,5.0,Average,10,Yes,1.4,High,40,5
15,27,Female,Adult,Working,Education,8.9,2.2,1.7,7.2,No,7.2,Good,10,Yes,0.4,High,37,9
16,75,Female,Senior,Working,IT Services,5.7,1.3,3.0,2.7,No,8.8,Good,4,No,1.4,Medium,41,6
17,34,Male,Adult,Non-Working,Homemaker,3.3,3.8,1.0,2.3,No,4.1,Poor,5,No,2.1,High,69,3
18,59,Female,Adult,Non-Working,Homemaker,5.0,2.0,1.3,3.7,Yes,7.3,Good,5,No,0.9,High,71,5
19,46,Female,Adult,Non-Working,Homemaker,9.2,4.0,2.1,7.1,Yes,4.8,Poor,10,Yes,1.9,Low,10,2
20,67,Male,Senior,Working,Healthcare,3.0,2.8,1.5,1.5,Yes,7.6,Good,2,No,2.4,High,20,9
21,59,Female,Adult,Working,Business,5.3,1.9,3.4,1.9,Yes,8.3,Good,6,No,0.7,Low,33,3
22,49,Female,Adult,Working,Healthcare,7.2,4.7,3.6,3.6,No,7.7,Good,8,Yes,1.5,High,58,9
23,18,Female,Teen,Non-Working,Homemaker,8.4,3.2,2.2,6.2,Yes,7.5,Good,5,Yes,1.6,Medium,44,10
24,55,Female,Adult,Non-Working,Retired,3.0,4.4,2.2,0.8,Yes,6.4,Average,1,No,1.7,Low,60,4
25,19,Female,Teen,Student,College Student,8.5,3.6,1.2,7.3,No,4.3,Poor,2,Yes,0.3,Medium,56,7
26,51,Female,Adult,Non-Working,Unemployed,4.6,3.1,1.5,3.1,No,5.2,Average,5,No,0.3,Medium,72,6
27,21,Male,Adult,Student,College Student,7.9,1.0,4.1,3.8,No,5.8,Average,6,Yes,2.4,Low,53,5
28,55,Female,Adult,Working,Government,8.6,4.4,3.8,4.8,Yes,5.8,Average,3,Yes,0.4,High,39,2
29,37,Female,Adult,Working,Healthcare,7.8,4.5,0.7,7.1,Yes,4.8,Poor,9,Yes,0.3,Medium,78,10
30,36,Male,Adult,Working,Healthcare,2.3,1.1,3.7,0.5,No,6.7,Average,8,No,2.2,High,93,10
31,55,Female,Adult,Working,Business,7.6,2.1,1.0,6.6,No,7.6,Good,2,Yes,2.0,Medium,74,8
32,58,Female,Adult,Working,Corporate,4.6,3.0,3.1,1.5,Yes,7.6,Good,6,No,1.8,Low,71,2
33,78,Female,Senior,Working,Business,6.1,1.8,2.0,4.1,Yes,4.6,Poor,3,Yes,0.2,High,64,6
34,51,Female,Adult,Working,Government,6.6,4.7,0.4,6.2,Yes,8.5,Good,4,Yes,0.3,Medium,73,3
35,44,Female,Adult,Working,IT Services,9.5,1.2,4.0,5.5,No,5.5,Average,10,Yes,0.4,Low,69,4
36,32,Female,Adult,Non-Working,Retired,6.4,4.0,2.7,3.7,Yes,6.4,Average,1,Yes,0.4,High,40,4
37,77,Male,Senior,Non-Working,Homemaker,5.8,3.4,3.0,2.8,No,4.5,Poor,4,No,0.8,Medium,15,6
38,65,Male,Senior,Non-Working,Retired,6.1,0.8,0.3,5.8,Yes,6.1,Average,4,Yes,0.1,Low,42,7
39,70,Female,Senior,Non-Working,Homemaker,8.0,4.0,3.5,4.5,No,7.5,Good,1,Yes,0.7,Medium,92,9
40,79,Female,Senior,Working,Government,8.8,1.5,2.7,6.1,No,4.5,Poor,5,Yes,1.8,Low,90,4
41,37,Male,Adult,Working,Healthcare,8.6,2.0,3.5,5.1,No,6.7,Average,1,Yes,0.8,Medium,48,9
42,68,Female,Senior,Non-Working,Unemployed,3.4,3.7,1.0,2.4,No,4.5,Poor,9,No,0.7,High,87,5
43,27,Female,Adult,Working,Healthcare,5.5,3.2,0.4,5.1,No,4.4,Poor,2,No,1.0,Low,87,7
44,78,Female,Senior,Non-Working,Unemployed,4.1,3.0,4.3,0.5,Yes,4.4,Poor,6,No,1.2,Low,72,6
45,71,Male,Senior,Non-Working,Unemployed,3.1,1.2,1.0,2.1,Yes,8.5,Good,5,No,0.6,Low,46,2
46,39,Male,Adult,Non-Working,Homemaker,7.2,0.5,2.8,4.4,Yes,6.2,Average,2,Yes,2.0,High,32,8
47,67,Male,Senior,Working,Government,7.2,2.9,3.7,3.5,Yes,5.1,Average,3,Yes,0.9,High,9,7
48,19,Female,Teen,Student,School Student,3.4,2.4,0.2,3.2,No,9.0,Good,10,No,0.6,High,64,8
49,25,Male,Adult,Working,Corporate,4.9,4.4,2.1,2.8,Yes,7.9,Good,8,No,1.0,Low,89,10
50,46,Female,Adult,Working,Healthcare,4.9,2.4,0.7,4.2,Yes,6.2,Average,1,No,0.3,Medium,21,4
51,46,Male,Adult,Working,Corporate,9.0,2.4,3.2,5.8,Yes,6.0,Average,8,Yes,0.5,Medium,98,2
52,79,Male,Senior,Non-Working,Unemployed,7.7,1.9,4.7,3.0,No,5.5,Average,1,Yes,0.9,Low,6,4
53,19,Male,Teen,Non-Working,Retired,6.0,3.2,1.6,4.4,Yes,8.5,Good,8,No,0.9,Medium,9,7
54,57,Male,Adult,Non-Working,Homemaker,8.6,2.4,2.9,5.7,No,7.8,Good,4,Yes,0.8,Low,66,4
55,74,Female,Senior,Working,Healthcare,7.5,2.9,0.8,6.7,No,5.9,Average,9,Yes,1.5,High,68,5
56,59,Female,Adult,Working,Corporate,6.6,3.8,4.3,2.3,Yes,7.0,Good,3,Yes,0.5,Low,8,5
57,49,Male,Adult,Working,Corporate,3.0,4.5,4.8,0.5,No,7.3,Good,2,No,1.8,Medium,14,7
58,66,Female,Senior,Non-Working,Retired,4.4,3.3,3.9,0.5,Yes,7.6,Good,10,No,0.8,High,76,10
59,26,Male,Adult,Working,Healthcare,9.5,1.3,4.5,5.0,No,6.7,Average,3,Yes,1.1,High,66,5
60,68,Female,Senior,Non-Working,Unemployed,7.0,2.2,4.2,2.8,No,7.7,Good,6,Yes,1.5,Medium,48,8
61,25,Male,Adult,Non-Working,Unemployed,7.0,2.2,3.7,3.3,No,8.8,Good,10,Yes,0.2,Medium,61,4
62,41,Female,Adult,Working,Business,6.7,2.3,4.9,1.8,Yes,5.4,Average,3,Yes,0.6,Low,17,5
63,55,Female,Adult,Non-Working,Unemployed,2.2,3.0,4.6,0.5,No,7.3,Good,3,No,0.4,Medium,35,7
64,15,Female,Teen,Non-Working,Retired,2.2,0.7,0.9,1.3,Yes,8.7,Good,2,No,0.6,Medium,94,3
65,77,Male,Senior,Non-Working,Retired,6.4,4.0,3.8,2.6,No,7.9,Good,2,Yes,2.4,High,79,8
66,32,Male,Adult,Working,Government,5.9,3.4,2.9,3.0,No,8.3,Good,4,No,0.4,Low,41,8
67,44,Female,Adult,Working,Government,5.2,4.3,2.2,3.0,No,8.3,Good,2,No,1.7,High,31,6
68,79,Female,Senior,Working,Business,9.7,4.7,1.5,8.2,Yes,7.4,Good,5,Yes,1.9,High,22,9
69,69,Male,Senior,Non-Working,Unemployed,3.5,0.9,0.1,3.4,No,7.5,Good,2,No,1.6,Medium,75,7
70,77,Male,Senior,Non-Working,Unemployed,6.5,1.6,3.1,3.4,Yes,5.6,Average,6,Yes,0.1,High,86,6
71,58,Male,Adult,Working,Government,10.0,1.3,4.9,5.1,Yes,7.1,Good,9,Yes,1.9,Medium,91,6
72,48,Male,Adult,Working,Education,5.6,2.8,3.1,2.5,No,4.2,Poor,3,No,1.1,High,40,4
73,78,Male,Senior,Working,Freelancer,6.1,3.0,1.1,5.0,No,8.1,Good,9,Yes,0.2,Medium,0,7
74,73,Female,Senior,Working,Healthcare,4.8,2.3,2.0,2.8,Yes,4.9,Poor,8,No,1.7,Medium,75,9
75,54,Male,Adult,Non-Working,Unemployed,9.8,4.7,1.4,8.4,Yes,4.9,Poor,7,Yes,2.5,Medium,15,7
76,43,Female,Adult,Working,Healthcare,2.0,1.6,0.2,1.8,Yes,8.5,Good,3,No,1.3,High,65,6
77,32,Female,Adult,Working,IT Services,2.3,0.7,3.2,0.5,No,7.2,Good,10,No,0.2,Medium,20,5
78,64,Male,Senior,Non-Working,Retired,8.9,2.6,2.8,6.1,Yes,5.9,Average,1,Yes,1.7,Medium,74,6
79,60,Male,Senior,Working,IT Services,7.9,4.1,0.1,7.8,Yes,8.1,Good,7,Yes,0.7,Low,35,3
80,47,Male,Adult,Working,Government,9.3,1.8,2.8,6.5,Yes,5.3,Average,2,Yes,0.7,Medium,92,6
81,78,Male,Senior,Non-Working,Homemaker,2.4,1.9,4.9,0.5,Yes,8.8,Good,3,No,0.9,Low,38,4
82,67,Male,Senior,Non-Working,Unemployed,6.6,4.5,1.3,5.3,Yes,4.9,Poor,5,Yes,0.4,Medium,25,3
83,50,Female,Adult,Working,IT Services,2.3,2.7,2.3,0.5,No,7.6,Good,3,No,1.5,Medium,43,7
84,71,Male,Senior,Non-Working,Homemaker,4.3,3.5,2.2,2.1,Yes,8.4,Good,2,No,1.4,Medium,9,4
85,76,Female,Senior,Working,Corporate,3.3,4.0,3.4,0.5,No,6.7,Average,1,No,0.6,Low,19,5
86,27,Female,Adult,Working,Healthcare,4.9,2.7,4.8,0.5,No,8.7,Good,4,No,0.8,Medium,12,7
87,71,Male,Senior,Working,IT Services,8.7,0.9,2.6,6.1,Yes,8.7,Good,5,Yes,0.3,Medium,87,7
88,70,Male,Senior,Working,Business,8.9,4.1,1.8,7.1,Yes,4.4,Poor,6,Yes,0.4,Low,0,3
89,57,Female,Adult,Non-Working,Retired,2.3,0.5,3.6,0.5,No,8.6,Good,2,No,0.3,Medium,23,2
90,74,Female,Senior,Non-Working,Unemployed,4.7,1.8,0.8,3.9,Yes,8.3,Good,2,No,1.4,Low,16,2
91,19,Female,Teen,Non-Working,Homemaker,9.8,1.9,3.2,6.6,Yes,8.9,Good,7,Yes,0.7,Medium,2,3
92,70,Male,Senior,Non-Working,Unemployed,9.0,4.2,1.6,7.4,No,4.6,Poor,4,Yes,1.3,High,44,8
93,27,Female,Adult,Non-Working,Retired,6.9,2.5,1.6,5.3,No,8.4,Good,1,Yes,0.7,High,26,10
94,15,Male,Teen,Student,School Student,5.3,2.7,0.6,4.7,No,5.8,Average,2,No,2.4,Low,93,9
95,77,Male,Senior,Non-Working,Homemaker,9.0,2.5,2.9,6.1,No,8.5,Good,9,Yes,1.2,Low,12,10
96,33,Male,Adult,Working,Freelancer,4.1,4.4,1.5,2.6,Yes,4.8,Poor,4,No,1.8,Medium,3,8
97,73,Female,Senior,Non-Working,Homemaker,6.4,3.7,2.0,4.4,Yes,4.4,Poor,8,Yes,0.3,High,55,4
98,76,Female,Senior,Working,Freelancer,7.0,4.7,0.0,7.0,Yes,4.6,Poor,9,Yes,0.5,High,56,9
99,21,Male,Adult,Student,College Student,5.2,1.3,0.3,4.9,Yes,5.6,Average,7,No,1.3,Medium,71,6
100,44,Female,Adult,Working,Freelancer,4.6,2.2,3.1,1.5,Yes,7.3,Good,10,No,0.7,High,71,6
101,24,Male,Adult,Working,Education,9.0,0.8,0.3,8.7,Yes,4.9,Poor,5,Yes,1.3,Medium,36,3
102,42,Male,Adult,Working,IT Services,2.5,4.4,4.2,0.5,No,6.3,Average,8,No,0.8,Medium,4,3
103,17,Female,Teen,Student,College Student,4.8,4.5,0.2,4.6,Yes,4.1,Poor,6,No,1.9,High,84,2
104,19,Male,Teen,Student,College Student,4.2,3.2,1.9,2.3,No,5.2,Average,4,No,2.0,Low,73,2
105,24,Male,Adult,Non-Working,Homemaker,9.2,4.8,0.4,8.8,No,5.2,Average,5,Yes,0.7,Medium,78,10
106,60,Female,Senior,Working,Corporate,7.4,0.8,3.1,4.3,No,7.7,Good,7,Yes,0.3,High,50,10
107,53,Female,Adult,Working,Government,7.7,3.5,0.8,6.9,No,5.6,Average,2,Yes,0.5,Low,49,4
108,48,Male,Adult,Working,Corporate,5.2,2.8,2.3,2.9,Yes,8.1,Good,1,No,0.2,Medium,81,2
109,79,Female,Senior,Working,Healthcare,3.7,4.9,2.1,1.6,No,6.2,Average,4,No,1.5,High,33,3
110,39,Male,Adult,Working,Corporate,6.9,3.3,2.3,4.6,No,5.5,Average,8,Yes,1.6,Low,48,7
111,35,Male,Adult,Working,IT Services,9.0,4.5,1.8,7.2,Yes,8.5,Good,9,Yes,1.3,High,77,8
112,21,Female,Adult,Student,College Student,8.8,4.8,4.3,4.5,Yes,5.7,Average,1,Yes,2.2,High,61,2
113,36,Male,Adult,Working,Healthcare,2.7,3.4,2.0,0.7,No,6.2,Average,7,No,2.1,High,49,7
114,44,Female,Adult,Non-Working,Homemaker,7.3,1.6,1.5,5.8,Yes,4.8,Poor,2,Yes,1.9,High,84,3
115,22,Male,Adult,Student,School Student,2.7,3.4,4.8,0.5,Yes,7.6,Good,1,No,0.4,High,66,6
116,57,Male,Adult,Non-Working,Unemployed,10.0,2.4,1.9,8.1,Yes,6.3,Average,10,Yes,2.3,Medium,68,2
117,26,Male,Adult,Working,Healthcare,9.8,0.5,1.0,8.8,No,7.4,Good,6,Yes,1.1,High,62,6
118,33,Male,Adult,Working,Business,7.2,2.1,4.6,2.6,No,6.5,Average,8,Yes,1.8,Low,19,3
119,60,Female,Senior,Working,IT Services,9.9,1.6,1.4,8.5,No,7.6,Good,2,Yes,0.1,High,79,2
120,58,Female,Adult,Working,Healthcare,9.3,4.1,4.0,5.3,Yes,7.8,Good,8,Yes,0.4,Medium,0,4
121,33,Female,Adult,Working,Healthcare,5.1,2.4,0.7,4.4,No,4.2,Poor,3,No,1.1,Medium,67,10
122,76,Male,Senior,Working,Corporate,7.4,2.6,2.7,4.7,No,6.7,Average,7,Yes,1.5,Low,18,8
123,14,Male,Teen,Non-Working,Retired,4.5,2.7,3.7,0.8,No,5.4,Average,3,No,0.3,Medium,98,7
124,61,Male,Senior,Working,Education,8.4,4.1,0.1,8.3,No,5.7,Average,4,Yes,1.1,Low,52,6
125,56,Female,Adult,Working,Healthcare,7.0,4.0,0.8,6.2,Yes,4.4,Poor,1,Yes,1.7,High,32,7
126,28,Female,Adult,Non-Working,Homemaker,8.4,4.8,4.1,4.3,Yes,8.7,Good,4,Yes,0.6,Low,5,3
127,67,Female,Senior,Non-Working,Retired,6.9,1.3,0.6,6.3,No,4.1,Poor,8,Yes,0.7,Medium,24,8
128,43,Male,Adult,Working,Corporate,9.1,3.2,0.7,8.4,No,5.8,Average,5,Yes,0.2,High,7,5
129,38,Male,Adult,Non-Working,Homemaker,9.7,1.2,2.6,7.1,No,6.4,Average,7,Yes,1.2,Low,7,8
130,80,Female,Senior,Non-Working,Retired,2.4,4.7,1.6,0.8,No,6.3,Average,10,No,1.7,Low,63,8
131,59,Female,Adult,Working,Business,2.8,0.6,4.9,0.5,No,7.0,Good,7,No,0.9,Low,33,4
132,29,Male,Adult,Non-Working,Retired,8.2,3.8,1.2,7.0,No,5.4,Average,7,Yes,1.4,High,50,6
133,21,Female,Adult,Student,College Student,6.6,4.2,1.9,4.7,Yes,6.4,Average,5,Yes,2.2,High,81,10
134,59,Female,Adult,Working,IT Services,2.1,2.4,4.3,0.5,Yes,8.7,Good,7,No,1.4,Medium,8,8
135,23,Male,Adult,Working,Business,8.4,4.5,4.2,4.2,No,5.7,Average,7,Yes,1.6,Low,27,2
136,38,Male,Adult,Non-Working,Retired,2.3,4.0,2.1,0.5,Yes,6.6,Average,1,No,2.5,Low,95,10
137,46,Male,Adult,Non-Working,Retired,10.0,0.6,4.6,5.4,No,7.3,Good,2,Yes,2.3,Low,6,3
138,22,Male,Adult,Student,School Student,5.0,1.1,3.2,1.8,Yes,6.2,Average,5,No,2.2,High,79,2
139,78,Female,Senior,Working,Healthcare,3.6,1.9,0.6,3.0,Yes,7.3,Good,6,No,2.5,High,19,4
140,60,Female,Senior,Working,Healthcare,7.7,1.7,2.3,5.4,Yes,7.1,Good,5,Yes,0.9,Low,46,6
141,17,Female,Teen,Non-Working,Unemployed,2.5,2.8,2.5,0.5,No,6.1,Average,1,No,0.2,Medium,100,2
142,57,Male,Adult,Non-Working,Homemaker,9.2,1.3,4.1,5.1,Yes,8.7,Good,4,Yes,1.3,Medium,18,5
143,26,Female,Adult,Working,IT Services,4.1,1.6,0.9,3.2,Yes,6.9,Average,7,No,1.2,High,17,4
144,72,Female,Senior,Non-Working,Unemployed,6.8,1.0,3.0,3.8,Yes,6.7,Average,2,Yes,0.6,High,34,8
145,47,Female,Adult,Working,Healthcare,7.2,2.8,0.1,7.1,No,6.3,Average,1,Yes,1.5,Low,40,6
146,74,Male,Senior,Non-Working,Homemaker,5.0,2.9,0.8,4.2,Yes,6.2,Average,4,No,1.9,High,95,9
147,20,Male,Adult,Student,School Student,3.6,3.2,1.7,1.9,No,6.9,Average,4,No,0.4,Low,72,5
148,16,Male,Teen,Student,School Student,3.8,4.6,3.7,0.5,No,6.9,Average,1,No,2.1,Medium,63,7
149,65,Male,Senior,Working,Corporate,5.7,3.2,3.1,2.6,No,8.0,Good,4,No,0.5,Low,5,8
150,30,Male,Adult,Working,Healthcare,9.5,1.6,3.0,6.5,No,7.5,Good,5,Yes,2.0,Low,56,6
151,17,Male,Teen,Student,School Student,2.9,1.9,2.9,0.5,Yes,5.9,Average,8,No,1.0,Low,89,6
152,79,Male,Senior,Non-Working,Unemployed,6.7,4.6,1.2,5.5,Yes,5.0,Average,3,Yes,1.9,High,58,7
153,42,Female,Adult,Working,Corporate,6.3,0.6,1.0,5.3,No,7.5,Good,7,Yes,1.6,Medium,62,4
154,45,Female,Adult,Working,Freelancer,9.9,4.3,3.1,6.8,No,5.3,Average,10,Yes,0.1,Medium,35,9
155,53,Male,Adult,Working,IT Services,7.4,1.2,1.2,6.2,Yes,7.1,Good,4,Yes,1.7,High,20,8
156,29,Female,Adult,Working,IT Services,7.9,3.6,2.2,5.7,Yes,4.9,Poor,2,Yes,0.4,High,2,4
157,79,Male,Senior,Non-Working,Homemaker,6.8,3.2,3.9,2.9,No,4.2,Poor,8,Yes,1.2,Medium,89,8
158,53,Male,Adult,Working,Corporate,4.9,2.6,0.2,4.7,Yes,7.6,Good,3,No,0.6,Medium,32,2
159,61,Male,Senior,Working,Government,3.9,3.7,3.1,0.8,Yes,5.8,Average,9,No,1.6,Medium,96,5
160,39,Male,Adult,Working,IT Services,3.2,4.6,4.1,0.5,No,5.0,Average,3,No,1.1,Medium,41,10
161,45,Male,Adult,Non-Working,Homemaker,6.2,4.9,2.0,4.2,Yes,8.6,Good,9,Yes,0.8,Low,16,6
162,64,Female,Senior,Working,Education,6.3,3.2,4.5,1.8,Yes,5.9,Average,2,Yes,1.4,Low,2,7
163,15,Female,Teen,Non-Working,Unemployed,3.4,2.2,4.5,0.5,No,8.2,Good,5,No,2.3,High,42,6
164,55,Male,Adult,Non-Working,Retired,8.2,0.8,2.6,5.6,Yes,9.0,Good,8,Yes,1.8,High,26,7
165,34,Female,Adult,Working,Education,5.2,4.3,0.1,5.1,Yes,4.7,Poor,10,No,0.1,High,38,2
166,67,Female,Senior,Working,Corporate,3.5,2.3,0.5,3.0,Yes,5.1,Average,5,No,1.8,High,80,5
167,67,Male,Senior,Working,Education,3.9,4.8,0.8,3.1,Yes,7.3,Good,7,No,0.8,High,99,10
168,31,Female,Adult,Non-Working,Unemployed,3.8,4.4,2.5,1.3,No,4.1,Poor,10,No,2.2,Medium,19,5
169,71,Male,Senior,Working,Business,7.1,2.6,4.4,2.7,No,4.4,Poor,8,Yes,1.8,High,30,6
170,56,Female,Adult,Working,IT Services,5.6,2.8,3.6,2.0,No,5.9,Average,3,No,2.0,Low,64,3
171,67,Female,Senior,Working,Corporate,8.5,4.1,1.7,6.8,Yes,8.8,Good,7,Yes,1.2,Medium,95,3
172,16,Female,Teen,Student,School Student,7.4,3.2,1.2,6.2,Yes,5.1,Average,9,Yes,0.8,Medium,69,3
173,71,Male,Senior,Working,Government,9.2,1.7,3.8,5.4,No,5.2,Average,2,Yes,0.4,Low,66,3
174,53,Female,Adult,Working,Government,3.0,4.3,2.5,0.5,Yes,6.6,Average,10,No,1.4,Low,27,5
175,45,Female,Adult,Working,IT Services,4.5,1.8,0.3,4.2,Yes,7.3,Good,3,No,0.9,Medium,97,10
176,17,Male,Teen,Non-Working,Homemaker,5.9,3.6,0.5,5.4,No,5.9,Average,4,No,1.7,High,64,5
177,66,Female,Senior,Non-Working,Homemaker,4.8,4.3,3.8,1.0,Yes,6.5,Average,8,No,0.8,Low,14,5
178,70,Female,Senior,Non-Working,Homemaker,6.9,2.3,4.9,2.0,Yes,5.0,Average,10,Yes,1.5,Medium,37,2
